epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3060.6,1.15488,0.54759,0.01373,0.55053,0.49773,0.48504,0.35106,0.99007,0.36832,0.01557,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3813.85,1.16113,0.54597,0.01369,0.54736,0.50156,0.48675,0.35158,0.98988,0.3675,0.01558,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4544.01,1.15863,0.54148,0.0137,0.5575,0.49896,0.48941,0.35466,0.98959,0.36667,0.01559,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5274.06,1.15436,0.54128,0.01363,0.56845,0.49675,0.49326,0.35764,0.98772,0.3659,0.01553,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6013.8,1.14974,0.54053,0.01355,0.56131,0.49983,0.49366,0.35672,0.9859,0.36505,0.01549,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6762.99,1.1535,0.54718,0.0135,0.56979,0.49605,0.49228,0.35584,0.98692,0.36354,0.01555,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7535.45,1.14382,0.53902,0.01351,0.57574,0.49454,0.49209,0.35537,0.98575,0.36267,0.01554,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8272.13,1.1443,0.53605,0.01351,0.57762,0.49524,0.4941,0.35651,0.98614,0.36252,0.01558,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9004.98,1.15303,0.53355,0.0135,0.56252,0.49569,0.49699,0.35903,0.98606,0.36397,0.01557,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9760.85,1.14103,0.52548,0.01337,0.56972,0.49518,0.49846,0.3606,0.98273,0.36805,0.01546,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10516.8,1.14054,0.52811,0.01331,0.55726,0.49878,0.49712,0.35904,0.98068,0.36401,0.01539,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11261.9,1.12812,0.51938,0.01329,0.5666,0.50106,0.5013,0.36263,0.97997,0.3633,0.01538,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,40700.7,1.13353,0.51977,0.01331,0.57269,0.5005,0.49725,0.35897,0.97866,0.36097,0.01535,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,41487.7,1.13061,0.52025,0.01325,0.58535,0.49862,0.49935,0.36119,0.97669,0.35843,0.0153,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,42251.6,1.12853,0.51717,0.01324,0.59085,0.49611,0.49978,0.36245,0.97583,0.35654,0.01528,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,43018.3,1.12094,0.51656,0.01318,0.58901,0.4942,0.50316,0.36452,0.97662,0.35499,0.01531,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,43788.2,1.12897,0.51639,0.01315,0.59065,0.49204,0.50364,0.36443,0.97693,0.35355,0.0153,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
